digit code,commodity,country,time,value
01,Live Animals,China,2017,35110692
0101,"Horses, Asses, Mules And Hinnies, Live",China,2017,1169976
010129,"Horses, Live, Other Than Purebred Breeding",China,2017,1169976
0101290090,"Horses, Live, Nesoi (no)",China,2017,1169976
0106,"Animals, Live, Nesoi",China,2017,33940716
010611,"Primates, Live",China,2017,33808661
0106110000,"Primates, Live (no)",China,2017,33808661
010619,"Mammals, Live, Nesoi",China,2017,97733
0106199120,"Dogs, Live (no)",China,2017,3000
0106199195,"Mammals, Live, Nesoi (no)",China,2017,94733
010620,Live Reptiles (including Snakes And Turtles),China,2017,13358
0106200000,"Reptiles (including Snakes And Turtles), Live (no)",China,2017,13358
010649,"Insects Other Than Bees, Live",China,2017,9244
0106490090,"Insects, Live, Nesoi (x)",China,2017,9244
010690,"Animals, Live, Nesoi",China,2017,11720
0106900110,"Worms, Live (x)",China,2017,4200
0106900180,"Animals, Live, Nesoi (x)",China,2017,7520
02,Meat And Edible Meat Offal,China,2017,15937174
0208,"Meat & Edible Offal Nesoi, Fresh, Chilld Or Frozen",China,2017,15937174
020810,"Rabbit Or Hare Meat & Offal Fresh, Chilled, Frozen",China,2017,3802534
0208100000,"Meat & Edible Offal Of Rabbits/hares, Fr/ch, Frzn (kg)",China,2017,3802534
020890,"Meat & Edible Meat Offal Nesoi, Fresh, Chld, Frozn",China,2017,12134640
0208902000,"Meat And Edible Offal Of Deer, Fr/ch Or Frozen (kg)",China,2017,77700
0208902500,"Frog's Legs, Fresh, Chilled Or Frozen (kg)",China,2017,12056940
03,"Fish, Crustaceans & Aquatic Invertebrates",China,2017,1953506893
0301,"Fish, Live",China,2017,1594239
030111,"Ornamental Fish, Live, Freshwater",China,2017,1555781
0301110020,"Goldfish And Crucian Carp, Live (x)",China,2017,1006733
0301110090,"Freshwater Fish, Ornamental, Live, Nesoi (x)",China,2017,549048
030119,"Ornamental Fish, Live, Other Than Freshwater",China,2017,38458
0301190000,"Fish, Ornamental, Live, Nesoi (x)",China,2017,38458
0302,"Fish, Fresh Or Chilled (no Fillets Or Other Meat)",China,2017,1903996
030213,"Pacific Salmon, Fresh Or Chilled",China,2017,501572
0302130022,"Chum (dog) Salmon, Fr/ch, Exc Fillet, Liver & Roe (kg)",China,2017,434700
0302130032,"Pink (humpie) Salmon, Fr/ch, Exc Fillet Liver Roe (kg)",China,2017,66872
030223,"Sole Except Fillets, Livers & Roes, Fresh, Chilled",China,2017,34960
0302230000,"Sole, Fresh/chilled, Except Fillets, Livers & Roes (kg)",China,2017,34960
030229,"Flatfish Nesoi Except Fillet, Liver Roe Fresh/chld",China,2017,73330
0302290110,"Flounder, Fr/ch, Except Fillets, Livers And Roes (kg)",China,2017,73330
030232,"Yellowfin Tunas Except Fillets, Livers, Roes Fr/ch",China,2017,4416
0302320000,Yellowfin Tunas Fr/ch Except Fillets Livers & Roes (kg),China,2017,4416
030234,"Big Eye Tunas Excl Fillets, Livers&roes; Frsh/chil",China,2017,6939
0302340000,"Bigeye Tunas, Fr/ch, Except Fillets, Livers & Roes (kg)",China,2017,6939
030235,"Atlantic & Pacific Bluefin Tunas, Fresh Or Chilled",China,2017,10061
0302350100,"Atl/pac Blufin Tunas, Fr/ch, Exc Filts/livers/roes (kg)",China,2017,10061
030236,"Southn Bluefin Tuna,excl Fillet,liver,roe; Frh/chl",China,2017,55780
0302360000,Southern Bluefin Tuna Fr/ch Exc Filets Livers Roes (kg),China,2017,55780
030243,Sardines Sardinella Brislings/sprats Fresh/chilled,China,2017,151493
0302430000,"Sardines Etc, Fr/ch, Exc Fillets, Livers And Roes (kg)",China,2017,151493
030245,"Jack And Horse Mackerel, Fresh Or Chilled",China,2017,398112
0302455000,"Jack/horse Mackerl, Fr/ch,exc Lvrs,ros,filts,nesoi (kg)",China,2017,398112
030259,Fish Of Fam Bregmacerotidae Etc Fresh/chilld Nesoi,China,2017,2847
0302595010,"Pollock, Fr/ch, Exc Atlantic, Fillet Etc Nesoi (kg)",China,2017,2847
030271,"Tilapias, Fresh Or Chilled",China,2017,43106
0302711100,"Tilapias, Fr/ch Scaled Lt=6.8 Kg, Exc Fillet Etc (kg)",China,2017,25816
0302715000,"Tilapias, Fr/chd, Exc Fillets Etc, Nesoi (kg)",China,2017,17290
030274,"EEls, Fresh Or Chilled",China,2017,38350
0302740000,"EEls, Fresh Or Chilled, Except Fillet, Liver, Roe (kg)",China,2017,38350
030289,"Fish, Fresh Or Chilled, Nesoi",China,2017,583030
0302895061,"Grouper, Fr/ch, Except Fillet, Liver And Roe Nesoi (kg)",China,2017,7192
0302895077,"Fish, Fr/ch,exc Livers, Roes, Fillets, Nesoi (kg)",China,2017,575838
0303,"Fish, Frozen (no Fish Fillets Or Other Fish Meat)",China,2017,145438660
030312,"Pacific Salmon, Frozen, Nesoi",China,2017,17410791
0303120022,"Chum (dog) Salmon, Frozen, Exc Fillet, Liver & Roe (kg)",China,2017,536643
0303120032,"Pink (humpie) Salmon, Frozen, Except Fillets, Etc (kg)",China,2017,16874148
030323,"Tilapias, Frozen",China,2017,32720509
0303230000,"Tilapia (oreochromis), Fz Exc Fillet, Liver & Roe (kg)",China,2017,32720509
030324,"Catfish, Frozen",China,2017,30034
0303240010,"Ictalurus, Frozen Except Fillet Liver & Roe, Nesoi (kg)",China,2017,25528
0303240050,"Catfish,frozen Exc Fillet Liver Roe Nesoi (kg)",China,2017,4506
030326,"EEls, Frozen",China,2017,479425
0303260000,"EEls, Frozen, Except Fillets, Livers And Roes (kg)",China,2017,479425
030329,"Nile Perch And Snakeheads, Frozen",China,2017,487994
0303290150,"Snakeheads, Frozen Exc Fillet Liver Roe (kg)",China,2017,487994
030331,Halibut/greenland Turbot Ex Fillet/liver/roe Frozn,China,2017,558500
0303310020,"Pacific Halibut, Frozen Except Fillet, Liver & Roe (kg)",China,2017,553065
0303310030,"Greenland Turbot Frozen Except Fillet, Liver & Roe (kg)",China,2017,5435
030333,"Sole, Except Fillets, Livers And Roes, Frozen",China,2017,86454
0303330000,"Sole, Frozen, Except Fillets, Livers And Roes (kg)",China,2017,86454
030339,"Flat Fish Nesoi Except Fillets, Livers, Roes, Frz",China,2017,417124
0303390110,"Flounder, Frozen Except Fillet, Liver & Roe, Nesoi (kg)",China,2017,4608
0303390120,"Rock Sole, Frozen, Except Fillets, Livers And Roes (kg)",China,2017,10454
0303390130,"Yellowfin Sole, Frozen, Exc Fillet, Liver And Roe (kg)",China,2017,326429
0303390195,"Flat Fish, Frzn, Except Fillet, Liver & Roe, Nesoi (kg)",China,2017,75633
030341,Albacore/longfinned Tunas Ex Fillet/lvr/roe Frozen,China,2017,379876
0303410000,Albacore/longfinned Tunas Frozen Except Fillet Etc (kg),China,2017,379876
030342,"Yellowfin Tuna Except Fillets, Liver & Roes Frozen",China,2017,28175
0303420060,"Yellowfin Tuna, Frozen, Except Fillets, Etc, Nesoi (kg)",China,2017,28175
030353,"Sardines, Sardinella, Brisling Or Sprats, Frozen",China,2017,95660
0303530000,"Sardines Etc, Frozen, Except Fillet, Liver And Roe (kg)",China,2017,95660
030354,"Mackerel, Frozen",China,2017,483100
0303540000,"Mackerel, Frozen, Except Fillets, Livers And Roes (kg)",China,2017,483100
030355,"Jack And Horse Mackerel, Frozen",China,2017,1093644
0303550000,"Jack&horse Mackerel,fz, Except Fillets,livers& Roe (kg)",China,2017,1093644
030359,"Anchovies, Exlcuding Livers And Roes",China,2017,769954
0303590000,"Fish, Frozen, Except Fillets, Livers&roes,herrings (kg)",China,2017,769954
030363,"Cod, Frozen",China,2017,15666978
0303630010,"Atlantic Cod, Frozen, Except Fillet, Liver And Roe (kg)",China,2017,15305204
0303630090,"Cod, Frozen Except Fillets, Livers And Roes, Nesoi (kg)",China,2017,361774
030364,"Haddock, Frozen",China,2017,191711
0303640000,"Haddock, Frozen, Except Fillets, Livers And Roes (kg)",China,2017,191711
030367,"Alaska Pollock, Frozen",China,2017,380363
0303670000,"Alaska Pollock, Frozen, Except Fillet, Liver & Roe (kg)",China,2017,380363
030369,Fish Bregmacerotidae Euclichthyidae Etc Frzn Nesoi,China,2017,1842095
0303690000,"Fish Of Fam, Fz, Exc Fillets, Livers & Roes, Nesoi (kg)",China,2017,1842095
030389,"Fish, Frozen, Nesoi",China,2017,71752274
0303890001,"Sea Smelts, Frozen Except Fillets, Livers And Roes (kg)",China,2017,17445
0303890004,"Smelts, Frozen Excpt Fillets, Livers & Roes (kg)",China,2017,207605
0303890013,"Shad & Sturgeon, Frozen Except Fillet, Liver & Roe (kg)",China,2017,53300
0303890031,"Perch, Pike Perch (yellow Pike) Frzn Exc Filet,etc (kg)",China,2017,28301
0303890040,"Tilapia, Frozen Exc Fillet, Liver & Roe, Nesoi (kg)",China,2017,8907422
0303890043,"Fish, Freshwater Frozen Exc Fillet Liver Roe Nesoi (kg)",China,2017,4159324
