HS 8 digit code ,HS 8 digit code (no decimal),HS 10 digit code,"Customs value in $, 2017",Reader friendly descriptions,Product description,Tariff (%),Proposed higher tariff (%),HS 6 digit code,Value-6,HS 4 digit code,Value-4,HS 2 digit code,Value-2
0203.29.20,02032920,,,Pork,"Frozen retail cuts of meat of swine, nesoi.",0.1,0.25, , , , ,02,15937174
0203.29.40,02032940,,,Pork,"Frozen meat of swine, other than retail cuts, nesoi.",0.1,0.25, , , , ,02,15937174
0206.10.00,02061000,,,Animal Meat,"Edible offal of bovine animals, fresh or chilled.",0.1,0.25, , , , ,02,15937174
0208.10.00,02081000,['0208100000'],3802534,"Rabbit meat
","Meat and edible meat offal of rabbits or hares, fresh, chilled or frozen.",0.1,0.25,020810,3802534,0208,15937174,02,15937174
0208.90.20,02089020,['0208902000'],77700,Deer meet,"Meat and edible offal of deer, fresh, chilled or frozen.",0.1,0.25,020890,12134640,0208,15937174,02,15937174
0208.90.25,02089025,['0208902500'],12056940,Frog legs,"Frog legs, fresh, chilled or frozen.",0.1,0.25,020890,12134640,0208,15937174,02,15937174
0210.19.00,02101900,,,Pork,"Meat of swine other than hams, shoulders, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked.",0.1,0.25, , , , ,02,15937174
0301.11.00,03011100,"['0301110020', '0301110090']",1555781,ornamental fish,Live ornamental freshwater fish.,0.1,0.25,030111,1555781,0301,1594239,03,1953506893
0301.19.00,03011900,['0301190000'],38458,ornamental fish,"Live ornamental fish, other than freshwater.",0.1,0.25,030119,38458,0301,1594239,03,1953506893
0301.91.00,03019100,,,Trout,Live trout.,0.1,0.25, , ,0301,1594239,03,1953506893
0301.92.00,03019200,,,Eel,Live eels.,0.1,0.25, , ,0301,1594239,03,1953506893
0301.93.02,03019302,,,carp,Live carp.,0.1,0.25, , ,0301,1594239,03,1953506893
0301.94.01,03019401,,,Tunas,"Other live Fish, Atlantic & Pacific Bluefin Tunas.",0.1,0.25, , ,0301,1594239,03,1953506893
0301.95.00,03019500,,,Tunas,"Other live Fish, Southern Bluefin Tunas.",0.1,0.25, , ,0301,1594239,03,1953506893
