HS 8 digit code ,HS 8 digit code (no decimal),HS 10 digit code,"Customs value in $, 2017",Reader friendly descriptions,Product description,Tariff (%),Proposed higher tariff (%)
0203.29.20,02032920,,,Pork,"Frozen retail cuts of meat of swine, nesoi.",0.1,0.25
0203.29.40,02032940,,,Pork,"Frozen meat of swine, other than retail cuts, nesoi.",0.1,0.25
0206.10.00,02061000,,,Animal Meat,"Edible offal of bovine animals, fresh or chilled.",0.1,0.25
0208.10.00,02081000,,,"Rabbit meat
","Meat and edible meat offal of rabbits or hares, fresh, chilled or frozen.",0.1,0.25
0208.90.20,02089020,,,Deer meet,"Meat and edible offal of deer, fresh, chilled or frozen.",0.1,0.25
0208.90.25,02089025,0208902500 ,"$12,056,940",Frog legs,"Frog legs, fresh, chilled or frozen.",0.1,0.25
0210.19.00,02101900,,,Pork,"Meat of swine other than hams, shoulders, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked.",0.1,0.25
0301.11.00,03011100,,,ornamental fish,Live ornamental freshwater fish.,0.1,0.25
0301.19.00,03011900,,,ornamental fish,"Live ornamental fish, other than freshwater.",0.1,0.25
0301.91.00,03019100,,,Trout,Live trout.,0.1,0.25
0301.92.00,03019200,,,Eel,Live eels.,0.1,0.25
0301.93.02,03019302,,,carp,Live carp.,0.1,0.25
0301.94.01,03019401,,,Tunas,"Other live Fish, Atlantic & Pacific Bluefin Tunas.",0.1,0.25
0301.95.00,03019500,,,Tunas,"Other live Fish, Southern Bluefin Tunas.",0.1,0.25
0301.99.03,03019903,,,tench,"Live Tench (Tinca Tinca), sheatfish (Silurus Glanis), bighead carp (Aristichthys Nobilis) and other fish, nesoi.",0.1,0.25
0302.11.00,03021100,,,Trout,"Trout, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.13.00,03021300,,,Salmon,"Pacific salmon, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.14.00,03021400,,,Salmon ,"Atlantic and Danube salmon, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.19.00,03021900,,,Salmon,"Salmonidae other than trout or Pacific, Atlantic & Danube salmon, fresh or chilled, excluding fillets, other meat portions, livers & roes.",0.1,0.25
0302.21.00,03022100,,,Halibut,"Halibut and Greenland turbot, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.22.00,03022200,,,plaice ,"Plaice, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.23.00,03022300,,,sole,"Sole, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.24.00,03022400,,,turbots,Turbots.,0.1,0.25
0302.29.01,03022901,,,flat fish,"Flat fish, nesoi, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.31.00,03023100,,,Tunas,"Albacore or longfinned tunas, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.32.00,03023200,,,Tunas,"Yellowfin tunas, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.33.00,03023300,,,Bonito,"Skipjack or stripe-bellied bonito, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.34.00,03023400,,,Tunas,"Bigeye tunas (Thunnas obesus), fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.35.01,03023501,,,Tunas,"Atlantic & Pacific bluefin tunas, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.36.00,03023600,,,Tunas,"Southern bluefin tunas (Thunnas maccoyii), fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.39.02,03023902,,,Tunas,"Tunas not elsewhere specified or included, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.41.00,03024100,,,herrings,"Herrings, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.42.00,03024200,,,anchovies,"Anchovies, excl. fillets, livers & roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg.",0.1,0.25
0302.43.00,03024300,,,sardines,"Sardines, sardinella, brisling or sprats, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.44.00,03024400,,,mackerel,"Mackerel, excl. fillets, livers & roes, fresh or chilled.",0.1,0.25
0302.45.11,03024511,,,mackerel,"Jack & horse mackerel, excl. fillets, livers & roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg.",0.1,0.25
0302.45.50,03024550,,,mackerel,"Jack & horse mackerel excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers >6.8 kg.",0.1,0.25
0302.46.11,03024611,,,cobia,"Cobia, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less.",0.1,0.25
0302.46.50,03024650,,,coba,"Cobia, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg.",0.1,0.25
0302.47.00,03024700,,,swordfish,"Swordfish, fresh or chilled, excluding livers and roes.",0.1,0.25
0302.49.00,03024900,,,*,"Herrings, anchovies, sardines, nesoi.",0.1,0.25
0302.51.00,03025100,,,cod,"Cod, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.52.00,03025200,,,haddock,"Haddock, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.53.00,03025300,,,coalfish,"Coalfish, fresh or chilled, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0302.54.11,03025411,,,hake,"Hake, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less.",0.1,0.25
0302.54.50,03025450,,,hake,"Hake, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg.",0.1,0.25
